year,S&P 500 after-tax,S&P 500 non-retirement,S&P 500 pre-tax,cash,tax-exempt bonds
2025,13208.95,10787.67,0,69265.71,2043.14
2026,14442.95,9814.94,0,122097.59,3580.9
2027,15214.44,9745.45,0,175651.25,4032.1
2028,16328.94,10074.66,0,229479.49,4265.29
2029,17185.98,10702.75,0,284344.07,4531.07
2030,153978.84,153179.94,0,1000.0,47320.25
2031,181979.08,173274.77,0,1000.0,66445.93
2032,210295.08,198219.39,0,1000.0,79558.52
2033,240363.18,224033.68,0,1000.0,91588.31
2034,269744.73,254906.22,0,1000.0,104890.91
2035,298533.88,295451.3,0,1000.0,121097.19
2036,332675.65,359587.84,0,1000.0,125168.79
2037,376327.09,441809.96,0,1000.0,129249.1
2038,415992.48,528373.4,0,1000.0,134653.2
2039,448271.25,612112.01,0,1000.0,141052.7
2040,484818.49,664403.37,0,64224.15,144299.53
2041,525610.88,718432.05,0,125123.07,148743.66
2042,562440.39,753766.25,0,190153.95,151584.19
2043,614121.41,790761.17,0,249829.58,156702.83
2044,644743.42,837215.71,0,307442.99,158154.99
2045,675568.44,875910.1,0,373057.6,161067.66
2046,747475.23,957126.16,0,432621.72,166671.52
2047,807050.16,1036856.89,0,504211.88,170610.34
2048,844824.44,1100834.19,0,598764.33,172663.15
2049,893142.26,1199215.32,0,700006.34,176729.39
2050,948567.25,1272887.14,0,798600.72,181353.26
2051,1035888.62,1342216.45,0,894555.7,185062.8
2052,1132510.56,1445504.74,0,993374.34,190156.34
2053,1219492.5,1539715.58,0,1086639.5,198985.7
2054,1332408.92,1632848.38,0,1178499.89,206089.61
2055,1412285.09,1745291.22,0,1282026.03,210814.15
2056,1525773.66,1824501.02,0,1378709.94,212901.13
2057,1564586.27,1926974.91,0,1486525.3,217205.5
2058,1674232.66,2033860.59,0,1583309.72,217734.93
2059,1831501.2,2220801.98,0,1685020.39,226961.83
2060,1907956.69,2434632.23,0,1792261.32,232344.47
2061,2059521.19,2506307.15,0,1913070.39,238124.78
2062,2191781.8,2791052.92,0,2046685.28,238975.72
2063,2375297.33,2991541.56,0,2167339.44,243585.91
2064,2585024.51,3191782.83,0,2265013.29,255958.41
2065,2802982.71,3345458.71,0,2364860.26,260582.6
