year,S&P 500 after-tax,S&P 500 non-retirement,S&P 500 pre-tax,cash,tax-exempt bonds
2025,12023.92,10698.93,0,69430.61,2068.89
2026,12376.19,11749.54,0,122391.7,2134.1
2027,13582.69,12516.32,0,176348.58,2178.05
2028,105479.15,150989.61,0,1000.0,2244.18
2029,136494.16,193878.48,0,1000.0,690.63
2030,161615.23,245166.16,0,1000.0,213.32
2031,167615.98,301887.49,0,1000.0,65.24
2032,198813.35,334907.24,0,1000.0,20.25
2033,219461.29,376155.24,0,1000.0,6.23
2034,242208.74,460435.8,0,1000.0,1.91
2035,273150.95,521239.98,0,1000.0,0.59
2036,296855.24,569270.77,0,1000.0,0.18
2037,327182.51,659752.92,0,1000.0,0.05
2038,367375.62,724100.84,0,58929.86,0.02
2039,378815.95,673844.53,0,127200.98,0.02
2040,391901.99,740857.65,0,187295.4,0.02
2041,408629.37,788536.13,0,246981.16,0.02
2042,435583.27,786771.14,0,313633.27,0.02
2043,424400.76,812592.35,0,376758.54,0.02
2044,415482.47,829292.58,0,438346.33,0.02
2045,410536.92,899717.05,0,508982.87,0.02
2046,427142.34,989396.73,0,565034.14,0.02
2047,484196.97,939364.69,0,635076.4,0.02
2048,476601.69,961017.4,0,702077.47,0.02
2049,500710.7,1026910.93,0,761899.74,0.02
2050,506438.52,1142492.7,0,853344.09,0.02
2051,541674.73,1202605.62,0,943934.26,0.02
2052,578791.13,1185438.26,0,1040569.61,0.02
2053,622690.41,1238091.18,0,1144706.19,0.03
2054,644610.74,1276213.86,0,1248741.47,0.03
2055,689695.06,1206270.39,0,1345684.38,0.03
2056,846661.82,1198593.64,0,1448342.99,0.03
2057,788106.8,1218597.51,0,1544725.07,0.03
2058,831717.85,1249218.63,0,1634788.1,0.03
2059,928620.86,1301180.13,0,1738777.94,0.03
2060,935144.14,1271876.82,0,1824043.33,0.03
2061,874393.93,1397008.63,0,1919771.18,0.03
2062,1015602.18,1414977.11,0,2027172.96,0.03
2063,1093159.06,1559673.22,0,2126488.54,0.03
2064,1116049.49,1513471.38,0,2226976.62,0.03
2065,1230506.99,1607674.59,0,2335615.01,0.04
2066,1224842.58,1642981.24,0,2308039.66,0.04
2067,1293573.22,1709728.37,0,2299893.51,0.04
2068,1362737.94,1944156.17,0,2289769.31,0.04
2069,1417251.07,1973413.95,0,2270456.59,0.04
2070,1535898.63,2123011.06,0,2257015.49,0.04
2071,1594948.96,2215279.53,0,2256925.91,0.04
2072,1653461.31,2311649.33,0,2255269.71,0.04
2073,1600281.91,2452963.97,0,2235792.4,0.04
2074,1675850.26,2471082.86,0,2233040.18,0.05
