year,S&P 500 after-tax,S&P 500 non-retirement,S&P 500 pre-tax,cash,tax-exempt bonds
2025,13035.39,10268.87,0,69903.39,2041.88
2026,12389.11,10332.7,0,123092.53,2059.66
2027,12041.46,10404.11,0,176310.91,2123.09
2028,104289.3,148202.52,0,1000.0,2186.56
2029,125716.26,193938.31,0,1000.0,667.49
2030,145540.32,238275.42,0,1000.0,205.04
2031,166850.99,285150.11,0,1000.0,62.66
2032,202361.0,334704.78,0,1000.0,19.49
2033,223629.47,362220.97,0,1000.0,5.96
2034,249688.08,411387.44,0,1000.0,1.82
2035,256461.79,501411.55,0,1000.0,0.56
2036,265414.46,589249.96,0,1000.0,0.17
2037,258790.19,610266.45,0,1000.0,0.05
2038,291350.96,647958.98,0,66137.5,0.02
2039,306902.84,651709.78,0,133410.12,0.02
2040,315209.62,608444.07,0,199898.42,0.02
2041,335211.14,651026.77,0,267304.56,0.02
2042,322880.32,677695.39,0,334430.87,0.02
2043,349278.32,665758.18,0,407395.98,0.02
2044,367472.78,627510.22,0,477392.61,0.02
2045,404775.89,644746.7,0,544711.08,0.02
2046,441997.05,691526.22,0,615396.9,0.02
2047,451995.06,633414.57,0,676848.83,0.02
2048,483369.4,665323.72,0,741582.52,0.02
2049,515488.53,643817.96,0,810432.12,0.02
2050,537905.41,640375.28,0,878946.11,0.02
2051,567073.9,663277.96,0,973214.95,0.02
2052,560142.61,695385.02,0,1068758.17,0.02
2053,597281.53,769695.33,0,1168540.72,0.02
2054,603361.86,776929.44,0,1269424.1,0.02
2055,664326.46,850713.28,0,1371965.49,0.03
2056,709437.73,830040.28,0,1474280.34,0.03
2057,716006.2,833662.59,0,1580238.09,0.03
2058,682664.52,898600.5,0,1691952.85,0.03
2059,664150.55,914893.55,0,1791044.77,0.03
2060,679828.89,888180.62,0,1896612.19,0.03
2061,776162.97,911043.43,0,2001535.11,0.03
2062,789367.16,1013137.3,0,2111237.31,0.03
2063,843793.36,1114826.94,0,2218625.01,0.03
2064,875737.82,1225842.49,0,2323078.13,0.03
2065,872817.02,1310189.09,0,2423390.63,0.03
2066,867709.66,1305739.57,0,2417541.05,0.03
2067,919745.75,1507092.35,0,2415100.01,0.03
2068,936955.38,1584784.17,0,2413690.73,0.04
2069,968513.75,1689488.53,0,2404839.89,0.04
